iter	Passed	Remaining
1217	23464	15065
1218	23483	15045
1219	23501	15025
1220	23519	15005
1221	23538	14985
1222	23559	14967
1223	23579	14948
1224	23594	14927
1225	23611	14906
1226	23630	14887
1227	23647	14866
1228	23666	14847
1229	23687	14828
1230	23706	14809
1231	23725	14790
1232	23744	14770
1233	23762	14750
1234	23780	14730
1235	23797	14709
1236	23815	14689
1237	23835	14670
1238	23857	14653
1239	23873	14631
1240	23894	14613
1241	23912	14593
1242	23932	14575
1243	23948	14554
1244	23965	14533
1245	23982	14512
1246	23999	14492
1247	24018	14472
1248	24036	14452
1249	24050	14430
1250	24068	14410
1251	24082	14387
1252	24102	14369
1253	24126	14352
1254	24142	14331
1255	24159	14310
1256	24178	14291
1257	24195	14271
1258	24214	14251
1259	24234	14232
1260	24253	14213
1261	24269	14192
1262	24289	14173
1263	24307	14153
1264	24328	14135
1265	24349	14117
1266	24366	14096
1267	24386	14078
1268	24404	14058
1269	24422	14038
1270	24441	14018
1271	24458	13998
1272	24477	13978
1273	24495	13959
1274	24512	13938
1275	24531	13919
1276	24549	13899
1277	24566	13878
1278	24584	13858
1279	24604	13839
1280	24625	13821
1281	24646	13803
1282	24667	13785
1283	24683	13764
1284	24706	13746
1285	24722	13725
1286	24740	13706
1287	24761	13687
1288	24782	13669
1289	24801	13650
1290	24821	13631
1291	24842	13613
1292	24859	13593
1293	24879	13573
1294	24895	13553
1295	24915	13534
1296	24937	13516
1297	24956	13497
1298	24973	13476
1299	24990	13456
1300	25009	13437
1301	25026	13416
1302	25045	13397
1303	25062	13376
1304	25079	13356
1305	25100	13338
1306	25124	13321
1307	25149	13305
1308	25167	13285
1309	25186	13266
1310	25202	13245
1311	25224	13227
1312	25243	13208
1313	25262	13188
1314	25279	13168
1315	25296	13148
1316	25320	13131
1317	25341	13113
1318	25359	13093
1319	25381	13075
1320	25404	13057
1321	25423	13038
1322	25442	13019
1323	25463	13000
1324	25479	12979
1325	25500	12961
1326	25519	12942
1327	25538	12922
1328	25559	12904
1329	25579	12885
1330	25601	12868
1331	25617	12847
1332	25636	12828
1333	25654	12808
1334	25673	12788
1335	25693	12769
1336	25713	12751
1337	25732	12731
1338	25751	12712
1339	25768	12691
1340	25784	12671
1341	25801	12650
1342	25820	12631
1343	25837	12611
1344	25854	12590
1345	25871	12570
1346	25891	12551
1347	25910	12532
1348	25928	12512
1349	25946	12492
1350	25964	12472
1351	25986	12455
1352	26007	12436
1353	26027	12417
1354	26045	12398
1355	26064	12378
1356	26084	12359
1357	26101	12339
1358	26122	12321
1359	26138	12300
1360	26161	12283
1361	26178	12262
1362	26196	12243
1363	26213	12222
1364	26230	12202
1365	26249	12183
1366	26268	12163
1367	26287	12144
1368	26305	12124
1369	26325	12105
1370	26344	12086
1371	26362	12066
1372	26383	12048
1373	26402	12028
1374	26420	12009
1375	26442	11991
1376	26460	11971
1377	26477	11951
1378	26496	11931
1379	26517	11913
1380	26532	11892
1381	26549	11872
1382	26568	11853
1383	26587	11833
1384	26605	11814
1385	26624	11794
1386	26641	11774
1387	26659	11754
1388	26679	11735
1389	26697	11716
1390	26718	11697
1391	26736	11678
1392	26756	11659
1393	26774	11639
1394	26789	11618
1395	26807	11598
1396	26826	11579
1397	26847	11560
1398	26867	11542
1399	26885	11522
1400	26903	11502
1401	26919	11481
1402	26937	11462
1403	26953	11442
1404	26971	11421
1405	26988	11402
1406	27008	11383
1407	27025	11363
1408	27042	11342
1409	27061	11323
1410	27078	11303
1411	27096	11283
1412	27113	11263
1413	27131	11244
1414	27152	11225
1415	27170	11206
1416	27192	11187
1417	27212	11168
1418	27231	11149
1419	27248	11129
1420	27266	11110
1421	27289	11092
1422	27307	11072
1423	27324	11052
1424	27342	11033
